id,folder,status,ready,image_count,has_index_html,webpage_url,blocker_count,blockers
0004,0004 - Gemmy Rocky Balboa,WIP,1,10,0,0,0,
0005,0005 - Vintage giant Smurf plush,WIP,1,8,0,0,0,
0006,0006 - Tomy Plarail Edward,WIP,1,6,0,0,0,
0007,0007 - Patchwork teddy bear with heart,WIP,1,8,0,0,0,
0008,0008 - Large floppy brown cream dog,WIP,1,1,0,0,0,
0009,0009 - Hey Duggee interactive plush,WIP,1,22,0,0,0,
0010,0010 - Guitar Hero World Tour guitar,WIP,1,1,0,0,0,
0011,0011 - Ahsoka Tano Legacy lightsabers,WIP,1,1,0,0,0,
0012,0012 - Jakks First Order Stormtrooper Battle Buddy,WIP,1,1,0,0,0,
0013,0013 - Press heart talking bear,WIP,1,2,0,0,0,
0014,0014 - Tomy Big Loader blue power unit,WIP,1,7,0,0,0,
0015,0015 - Anpanman Kotoba Zukan DX,WIP,1,1,0,0,0,
0093,0093 - Tomy Big Loader white shells pair,WIP,1,1,0,0,0,
